Tanggal,Kode,Tertinggi,Terendah,Penutupan,Volume,Nilai,Foreign_Sell,Foreign_Buy,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
19,INAF,400,394,396,33100,13135400,0,0,0,0,0,1,0,0,0,1,1,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya,Indofarma Tbk.,Healthcare,2001,3099267500.0,Pemantauan Khusus
19,IPPE,50,50,50,2300,115000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Indo Pureco Pratama Tbk.,Consumer Non-Cyclicals,2021,4600000000.0,Pemantauan Khusus
19,JAWA,114,103,110,90900,9854200,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,2011,16232951842.0,Utama
19,KAEF,785,765,765,1052100,809993500,179000,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Kimia Farma Tbk.,Healthcare,2001,5566529785.0,Utama
19,KAYU,50,50,50,8903100,445155000,0,0,0,0,0,0,0,0,0,1,1,0,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Darmi Bersaudara Tbk.,Basic Materials,2019,665000000.0,Pemantauan Khusus
19,KBLV,63,58,61,185600,11128200,100,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,First Media Tbk.,Infrastructures,2000,1742167907.0,Pemantauan Khusus
19,KDSI,1640,1640,1640,1000,1640000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Kedawung Setia Industrial Tbk.,Basic Materials,1996,405000000.0,Pemantauan Khusus
19,KIAS,15,15,15,286000,4290000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Keramika Indonesia Assosiasi T,Industrials,1994,14929100000.0,Pemantauan Khusus
19,KIOS,50,50,50,22200,1110000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Kioson Komersial Indonesia Tbk,Technology,2017,1075862550.0,Pengembangan
19,KOKA,78,74,76,19817600,1502791700,2758100,575000,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Koka Indonesia Tbk.,Infrastructures,2023,2861333000.0,Pengembangan
19,KOTA,50,50,50,3000,150000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,DMS Propertindo Tbk.,Consumer Cyclicals,2019,10546185701.0,Pemantauan Khusus
19,KRAS,153,148,148,9701500,1450977200,1434900,612900,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Krakatau Steel (Persero) Tbk.,Basic Materials,2010,19346396900.0,Pengembangan
19,LAND,19,19,19,390500,7419500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Trimitra Propertindo Tbk.,Properties & Real Estate,2018,2792620000.0,Pemantauan Khusus
19,LAPD,8,7,7,388800,2724200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Leyand International Tbk.,Infrastructures,2001,3966350139.0,Pemantauan Khusus
19,LEAD,63,61,62,1938500,120484700,100,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Logindo Samudramakmur Tbk.,Energy,2013,4049616328.0,Utama
19,LION,476,458,470,11500,5299200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Lion Metal Works Tbk.,Industrials,1993,520160000.0,Pemantauan Khusus
19,MASA,5300,5000,5200,14100,73235000,600,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Multistrada Arah Sarana Tbk.,Consumer Cyclicals,2005,9182946945.0,Pemantauan Khusus
19,MDRN,5,5,5,1200,6000,0,0,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya,Modern Internasional Tbk.,Industrials,1991,7632167798.0,Pemantauan Khusus
