Kode,Emiten,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
SMSM,Selamat Sempurna Tbk.,1996,5758675440,Utama
SNLK,Sunter Lakeside Hotel Tbk.,2021,450000000,Pengembangan
SOCI,Soechi Lines Tbk.,2014,7059000000,Utama
SOFA,Boston Furniture Industries Tb,2020,1653574499,Akselerasi
SOHO,Soho Global Health Tbk.,2020,12691682390,Pemantauan Khusus
SONA,Sona Topas Tourism Industry Tb,1992,662400000,Utama
SOSS,Shield On Service Tbk.,2018,799414231,Pengembangan
SOTS,Satria Mega Kencana Tbk.,2018,1000003979,Pengembangan
SOUL,Mitra Tirta Buwana Tbk.,2023,1082524371,Akselerasi
SPMA,Suparma Tbk.,1994,3154092216,Utama
SPTO,Surya Pertiwi Tbk.,2018,2700000000,Utama
SQMI,Wilton Makmur Indonesia Tbk.,2004,15537591429,Pengembangan
SRAJ,Sejahteraraya Anugrahjaya Tbk.,2011,12000705445,Utama
SRIL,Sri Rejeki Isman Tbk.,2013,20452176844,Pemantauan Khusus
SRSN,Indo Acidatama Tbk,1993,6020000000,Utama
SRTG,Saratoga Investama Sedaya Tbk.,2013,13564835000,Utama
SSIA,Surya Semesta Internusa Tbk.,1997,4705249440,Utama
SSMS,Sawit Sumbermas Sarana Tbk.,2013,9525000000,Utama
SSTM,Sunson Textile Manufacture Tbk,1997,1170909181,Pemantauan Khusus
STAA,Sumber Tani Agung Resources Tb,2022,10903372600,Utama
STAR,Buana Artha Anugerah Tbk.,2011,4800000602,Utama
STRK,Lovina Beach Brewery Tbk.,2023,10721709000,Pengembangan
STTP,Siantar Top Tbk.,1996,1310000000,Pengembangan
SUGI,Sugih Energy Tbk.,2002,24811541414,Pemantauan Khusus
SULI,SLJ Global Tbk.,1994,5730581103,Utama
SUNI,Sunindo Pratama Tbk.,2023,2500000000,Utama
SUPR,Solusi Tunas Pratama Tbk.,2011,1137579698,Pemantauan Khusus
SURE,Super Energy Tbk.,2018,1497576771,Pemantauan Khusus
SURI,Maja Agung Latexindo Tbk.,2023,6334375000,Pengembangan
SWAT,Sriwahana Adityakarta Tbk.,2018,3019200000,Pengembangan
SWID,Saraswanti Indoland Developmen,2022,5385019201,Pengembangan
TALF,Tunas Alfin Tbk.,2014,1353435000,Pengembangan
TAMA,Lancartama Sejati Tbk.,2020,1200000696,Pemantauan Khusus
TAMU,Pelayaran Tamarin Samudra Tbk.,2017,37500000000,Pemantauan Khusus
TAPG,Triputra Agro Persada Tbk.,2021,19852540000,Utama
TARA,Agung Semesta Sejahtera Tbk.,2014,10069645750,Pemantauan Khusus
TAXI,Express Transindo Utama Tbk.,2012,10223647156,Pemantauan Khusus
TAYS,Jaya Swarasa Agung Tbk.,2021,1098920000,Pengembangan
TBIG,Tower Bersama Infrastructure T,2010,22656999445,Utama
TBLA,Tunas Baru Lampung Tbk.,2000,6025373372,Utama
TBMS,Tembaga Mulia Semanan Tbk.,1990,734680000,Pengembangan
TCID,Mandom Indonesia Tbk.,1993,402133334,Utama
TCPI,Transcoal Pacific Tbk.,2018,5000000000,Pengembangan
TDPM,Tridomain Performance Material,2018,10485050500,Pemantauan Khusus
TEBE,Dana Brata Luhur Tbk.,2019,1285000000,Utama
TECH,Indosterling Technomedia Tbk.,2020,1256300000,Pemantauan Khusus
TELE,Omni Inovasi Indonesia Tbk.,2012,7310929389,Pemantauan Khusus
TFAS,Telefast Indonesia Tbk.,2019,1666666500,Pengembangan
TFCO,Tifico Fiber Indonesia Tbk.,1980,4823076400,Pemantauan Khusus
TGKA,Tigaraksa Satria Tbk.,1990,918492750,Pengembangan
TGRA,Terregra Asia Energy Tbk.,2017,2750000000,Pemantauan Khusus
TGUK,Platinum Wahab Nusantara Tbk.,2023,3571443999,Pengembangan
TIFA,KDB Tifa Finance Tbk.,2011,3552213000,Pemantauan Khusus
TINS,Timah Tbk.,1995,7447753454,Utama
TIRA,Tira Austenite Tbk,1993,588000000,Pemantauan Khusus
TIRT,Tirta Mahakam Resources Tbk,1999,1011774750,Pemantauan Khusus
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,1990,3113223570,Utama
TLDN,Teladan Prima Agro Tbk.,2022,12946530200,Utama
TLKM,Telkom Indonesia (Persero) Tbk,1995,99062216600,Utama
TMAS,Temas Tbk.,2003,57051500000,Utama
TMPO,Tempo Intimedia Tbk.,2001,1058333250,Pengembangan
TNCA,Trimuda Nuansa Citra Tbk.,2018,421640000,Pengembangan
TOBA,TBS Energi Utama Tbk.,2012,8106700622,Utama
TOOL,Rohartindo Nusantara Luas Tbk.,2022,2050015667,Pengembangan
TOPS,Totalindo Eka Persada Tbk.,2017,33330000000,Pemantauan Khusus
TOSK,Topindo Solusi Komunika Tbk.,2024,4375000000,Pengembangan
TOTL,Total Bangun Persada Tbk.,2006,3410000000,Utama
TOTO,Surya Toto Indonesia Tbk.,1990,10320000000,Pemantauan Khusus
TOWR,Sarana Menara Nusantara Tbk.,2010,51014625000,Utama
TOYS,Sunindo Adipersada Tbk.,2020,1435000712,Pengembangan
TPIA,Chandra Asri Pacific Tbk.,2008,86511545092,Pengembangan
TPMA,Trans Power Marine Tbk.,2013,2633300000,Pengembangan
TRAM,Trada Alam Minera Tbk.,2008,49643627934,Pemantauan Khusus
TRGU,Cerestar Indonesia Tbk.,2022,7945412700,Pengembangan
TRIL,Triwira Insanlestari Tbk.,2008,1200000000,Pemantauan Khusus
TRIM,Trimegah Sekuritas Indonesia T,2000,7109300000,Utama
TRIN,Perintis Triniti Properti Tbk.,2020,4551457323,Utama
TRIO,Trikomsel Oke Tbk.,2009,26007494645,Pemantauan Khusus
TRIS,Trisula International Tbk.,2012,3141443831,Pengembangan
TRJA,Transkon Jaya Tbk.,2020,1510200000,Utama
TRON,Teknologi Karya Digital Nusa T,2023,2951289164,Pengembangan
TRST,Trias Sentosa Tbk.,1990,2808000000,Utama
TRUE,Triniti Dinamik Tbk.,2021,7571035172,Pemantauan Khusus
TRUK,Guna Timur Raya Tbk.,2018,435000000,Pengembangan
TRUS,Trust Finance Indonesia Tbk,2002,800000000,PENGEMBANGAN
TSPC,Tempo Scan Pacific Tbk.,1994,4509864300,Utama
TUGU,Asuransi Tugu Pratama Indonesi,2018,3555575600,Utama
TYRE,King Tire Indonesia Tbk.,2023,3478036250,Pengembangan
UANG,Pakuan Tbk.,2020,1210000000,Pengembangan
UCID,Uni-Charm Indonesia Tbk.,2019,4156572300,Utama
UDNG,Agro Bahari Nusantara Tbk.,2023,1750000000,Akselerasi
UFOE,Damai Sejahtera Abadi Tbk.,2021,2287500000,Pengembangan
ULTJ,Ultrajaya Milk Industry & Trad,1990,11553528000,Utama
UNIC,Unggul Indah Cahaya Tbk.,1989,383331363,Utama
UNIQ,Ulima Nitra Tbk.,2021,3138983000,Utama
UNIT,Nusantara Inti Corpora Tbk,2002,75422200,Pemantauan Khusus
UNSP,Bakrie Sumatera Plantations Tb,1990,2500162344,Pemantauan Khusus
UNTD,Terang Dunia Internusa Tbk.,2024,6666666700,Pengembangan
UNTR,United Tractors Tbk.,1989,3730135136,Utama
UNVR,Unilever Indonesia Tbk.,1982,38150000000,Utama
URBN,Urban Jakarta Propertindo Tbk.,2018,3232122640,Pengembangan
UVCR,Trimegah Karya Pratama Tbk.,2021,2000144838,Pengembangan
VAST,Vastland Indonesia Tbk.,2023,3055709212,Pengembangan
VICI,Victoria Care Indonesia Tbk.,2020,6708000000,Utama
VICO,Victoria Investama Tbk.,2013,15217075658,Pengembangan
VINS,Victoria Insurance Tbk.,2015,1460573616,Pengembangan
VISI,Satu Visi Putra Tbk.,2024,3075000000,Pengembangan
VIVA,Visi Media Asia Tbk.,2011,16464270400,Pemantauan Khusus
VKTR,VKTR Teknologi Mobilitas Tbk.,2023,43750000000,Pengembangan
VOKS,Voksel Electric Tbk.,1990,4155602595,Utama
VRNA,Mizuho Leasing Indonesia Tbk.,2008,5687353997,Pengembangan
VTNY,Venteny Fortuna International ,2022,6265193445,Pengembangan
WAPO,Wahana Pronatural Tbk.,2001,1240923111,Pengembangan
WEGE,Wijaya Karya Bangunan Gedung T,2017,9572000000,Utama
WEHA,WEHA Transportasi Indonesia Tb,2007,1460554819,Utama
WGSH,Wira Global Solusi Tbk.,2021,1042500000,Akselerasi
WICO,Wicaksana Overseas Internation,1994,2393710348,Pemantauan Khusus
WIDI,Widiant Jaya Krenindo Tbk.,2023,1600009029,Akselerasi
WIFI,Solusi Sinergi Digital Tbk.,2020,2359355118,Utama
WIIM,Wismilak Inti Makmur Tbk.,2012,2099873760,Utama
WIKA,Wijaya Karya (Persero) Tbk.,2007,8969951372,Utama
WINE,Hatten Bali Tbk.,2023,2710000000,Pengembangan
WINR,Winner Nusantara Jaya Tbk.,2022,5235283825,Pemantauan Khusus
WINS,Wintermar Offshore Marine Tbk.,2010,4364337057,Utama
WIRG,WIR ASIA Tbk.,2022,11938622394,Pengembangan
WMPP,Widodo Makmur Perkasa Tbk.,2021,29419000000,Pemantauan Khusus
WMUU,Widodo Makmur Unggas Tbk.,2021,12941176500,Pemantauan Khusus
WOMF,Wahana Ottomitra Multiartha Tb,2004,3481481480,Utama
WOOD,Integra Indocabinet Tbk.,2017,6437500000,Utama
WOWS,Ginting Jaya Energi Tbk.,2019,2475720000,Pemantauan Khusus
WSBP,Waskita Beton Precast Tbk.,2016,54555721325,Pemantauan Khusus
WSKT,Waskita Karya (Persero) Tbk.,2012,28806807016,Pemantauan Khusus
WTON,Wijaya Karya Beton Tbk.,2014,8715466600,Utama
YELO,Yelooo Integra Datanet Tbk.,2018,1912774405,Pemantauan Khusus
YPAS,Yanaprima Hastapersada Tbk,2008,668000089,Pemantauan Khusus
YULE,Yulie Sekuritas Indonesia Tbk.,2004,1785000000,Pemantauan Khusus
ZATA,Bersama Zatta Jaya Tbk.,2022,8496000000,Pemantauan Khusus
ZBRA,Dosni Roha Indonesia Tbk.,1991,2510706263,Pengembangan
ZINC,Kapuas Prima Coal Tbk.,2017,25250000000,Pemantauan Khusus
ZONE,Mega Perintis Tbk.,2018,870171478,Pengembangan
ZYRX,Zyrexindo Mandiri Buana Tbk.,2021,1333334556,Pengembangan
