Kode,Emiten,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
BOSS,Borneo Olah Sarana Sukses Tbk.,2018,1400000000,Pemantauan Khusus
BPFI,Woori Finance Indonesia Tbk.,2009,2673995362,Pengembangan
BPII,Batavia Prosperindo Internasio,2014,515498662,Pemantauan Khusus
BPTR,Batavia Prosperindo Trans Tbk.,2018,3534000000,Utama
BRAM,Indo Kordsa Tbk.,1990,450056980,Utama
BREN,Barito Renewables Energy Tbk.,2023,133786220000,Utama
BRIS,Bank Syariah Indonesia Tbk.,2018,45667877639,Utama
BRMS,Bumi Resources Minerals Tbk.,2010,141784040338,Utama
BRNA,Berlina Tbk.,1989,979110000,Pengembangan
BRPT,Barito Pacific Tbk.,1993,93747218044,Utama
BSBK,Wulandari Bangun Laksana Tbk.,2022,25091882375,Pemantauan Khusus
BSDE,Bumi Serpong Damai Tbk.,2008,21171365812,Utama
BSIM,Bank Sinarmas Tbk.,2010,19517921842,Utama
BSML,Bintang Samudera Mandiri Lines,2021,1850225000,Pengembangan
BSSR,Baramulti Suksessarana Tbk.,2012,2616500000,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,2002,3651978177,Pemantauan Khusus
BTEK,Bumi Teknokultura Unggul Tbk,2004,46277496376,Pemantauan Khusus
BTEL,Bakrie Telecom Tbk.,2006,36822665755,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk.,2001,720000000,Pengembangan
BTPN,Bank BTPN Tbk.,2008,10536203690,Utama
BTPS,Bank BTPN Syariah Tbk.,2018,7626663000,Utama
BUAH,Segar Kumala Indonesia Tbk.,2022,1000000000,Pengembangan
BUDI,Budi Starch & Sweetener Tbk.,1995,4498997362,Utama
BUKA,Bukalapak.com Tbk.,2021,103099967067,Ekonomi Baru
BUKK,Bukaka Teknik Utama Tbk.,2015,2640452000,Pengembangan
BULL,Buana Lintas Lautan Tbk.,2011,14117801449,Pengembangan
BUMI,Bumi Resources Tbk.,1990,371320705024,Utama
BUVA,Bukit Uluwatu Villa Tbk.,2010,20590473213,Pengembangan
BVIC,Bank Victoria International Tb,1999,15690044331,Utama
BWPT,Eagle High Plantations Tbk.,2009,31525291000,Utama
BYAN,Bayan Resources Tbk.,2008,33333335000,Utama
CAKK,Cahayaputra Asa Keramik Tbk.,2018,1203300219,Pengembangan
CAMP,Campina Ice Cream Industry Tbk,2017,5885000000,Utama
CANI,Capitol Nusantara Indonesia Tb,2014,833440000,Pemantauan Khusus
CARE,Metro Healthcare Indonesia Tbk,2020,33250000000,Pengembangan
CARS,Industri dan Perdagangan Bintr,2017,15000000000,Utama
CASA,Capital Financial Indonesia Tb,2016,54476269803,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,2020,1431125517,Akselerasi
CASS,Cardig Aero Services Tbk.,2011,2086950000,Utama
CBMF,Cahaya Bintang Medan Tbk.,2020,1875000000,Pemantauan Khusus
CBPE,Citra Buana Prasida Tbk.,2023,1356250000,Pengembangan
CBRE,Cakra Buana Resources Energi T,2023,4538041373,Pemantauan Khusus
CBUT,Citra Borneo Utama Tbk.,2022,3125000000,Utama
CCSI,Communication Cable Systems In,2019,1199999998,Pengembangan
CEKA,Wilmar Cahaya Indonesia Tbk.,1996,595000000,Utama
CENT,Centratama Telekomunikasi Indo,2001,31183464900,Pemantauan Khusus
CFIN,Clipan Finance Indonesia Tbk.,1990,3984520457,Utama
CGAS,Citra Nusantara Gemilang Tbk.,2024,1771429000,Pengembangan
CHEM,Chemstar Indonesia Tbk.,2022,1700014594,Pengembangan
CHIP,Pelita Teknologi Global Tbk.,2023,806000000,Akselerasi
CINT,Chitose Internasional Tbk.,2014,1000000000,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002,3960361250,Pemantauan Khusus
CITY,Natura City Developments Tbk.,2018,5405188966,Utama
CLAY,Citra Putra Realty Tbk.,2019,2570000000,Pemantauan Khusus
CLEO,Sariguna Primatirta Tbk.,2017,12000000000,Utama
CLPI,Colorpak Indonesia Tbk.,2001,306338500,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,1995,5436872008,Utama
CMNT,Cemindo Gemilang Tbk.,2021,17125504000,Utama
CMPP,AirAsia Indonesia Tbk.,1994,10685124441,Pemantauan Khusus
CMRY,Cisarua Mountain Dairy Tbk.,2021,7934683000,Utama
CNKO,Exploitasi Energi Indonesia Tb,2001,8956361206,Pemantauan Khusus
CNMA,Nusantara Sejahtera Raya Tbk.,2023,83345000000,Utama
CNTX,Century Textile Industry Tbk.,1979,70000000,Pemantauan Khusus
COAL,Black Diamond Resources Tbk.,2022,6250000000,Pengembangan
COCO,Wahana Interfood Nusantara Tbk,2019,889863981,Pengembangan
COWL,Cowell Development Tbk.,2007,4871214021,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,1991,16398000000,Utama
CPRI,Capri Nusa Satu Properti Tbk.,2019,2433379958,Pemantauan Khusus
CPRO,Central Proteina Prima Tbk.,2006,59572382787,Pengembangan
CRAB,Toba Surimi Industries Tbk.,2022,1950000000,Pengembangan
CRSN,Carsurin Tbk.,2023,2892000000,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,2007,5683175151,Utama
CSIS,Cahayasakti Investindo Sukses ,2017,1307000000,Pengembangan
CSMI,Cipta Selera Murni Tbk.,2020,816061500,Pemantauan Khusus
CSRA,Cisadane Sawit Raya Tbk.,2020,2050000000,Utama
CTBN,Citra Tubindo Tbk.,1989,800371500,Pemantauan Khusus
CTRA,Ciputra Development Tbk.,1994,18535695255,Utama
CTTH,Citatah Tbk.,1996,1230839821,Pemantauan Khusus
CUAN,Petrindo Jaya Kreasi Tbk.,2023,11241890000,Utama
CYBR,ITSEC Asia Tbk.,2023,6449574702,Pengembangan
DADA,Diamond Citra Propertindo Tbk.,2020,7431530800,Pemantauan Khusus
DART,Duta Anggada Realty Tbk.,1990,3141390962,Utama
DAYA,Duta Intidaya Tbk.,2016,2420547025,Pengembangan
DCII,DCI Indonesia Tbk.,2021,2383745900,Pengembangan
DEAL,Dewata Freightinternational Tb,2018,1146170959,Pemantauan Khusus
DEFI,Danasupra Erapacific Tbk.,2001,687266666,Pemantauan Khusus
DEPO,Caturkarda Depo Bangunan Tbk.,2021,6790000000,Utama
DEWA,Darma Henwa Tbk,2007,21853733792,Utama
DEWI,Dewi Shri Farmindo Tbk.,2022,2000000000,Pengembangan
DFAM,Dafam Property Indonesia Tbk.,2018,1899852850,Pengembangan
DGIK,Nusa Konstruksi Enjiniring Tbk,2007,5541165000,Utama
DGNS,Diagnos Laboratorium Utama Tbk,2021,1250000000,Pengembangan
DIGI,Arkadia Digital Media Tbk.,2018,1625000000,Pemantauan Khusus
DILD,Intiland Development Tbk.,1991,10365854185,Utama
DIVA,Distribusi Voucher Nusantara T,2018,1428571400,Pengembangan
DKFT,Central Omega Resources Tbk.,1997,5638246600,Pengembangan
DLTA,Delta Djakarta Tbk.,1984,800659050,Utama
DMAS,Puradelta Lestari Tbk.,2015,48198111100,Utama
DMMX,Digital Mediatama Maxima Tbk.,2019,7692307700,Pengembangan
DMND,Diamond Food Indonesia Tbk.,2020,9468359000,Pemantauan Khusus
DNAR,Bank Oke Indonesia Tbk.,2014,16867292274,Utama
DNET,Indoritel Makmur Internasional,2000,14184000000,Pengembangan
DOID,Delta Dunia Makmur Tbk.,2001,8621173232,Utama
DOOH,Era Media Sejahtera Tbk.,2023,7737555979,Pengembangan
DPNS,Duta Pertiwi Nusantara Tbk.,1990,331129952,Utama
DPUM,Dua Putra Utama Makmur Tbk.,2015,4175000000,Pemantauan Khusus
DRMA,Dharma Polimetal Tbk.,2021,4705882300,Utama
DSFI,Dharma Samudera Fishing Indust,2000,1857135500,Utama
DSNG,Dharma Satya Nusantara Tbk.,2013,10599842400,Utama
DSSA,Dian Swastatika Sentosa Tbk,2009,770552320,Utama
DUCK,Jaya Bersama Indo Tbk.,2018,1283330000,Pemantauan Khusus
DUTI,Duta Pertiwi Tbk,1994,1850000000,Pengembangan
DVLA,Darya-Varia Laboratoria Tbk.,1994,1120000000,Utama
DWGL,Dwi Guna Laksana Tbk.,2017,9252820991,Pengembangan
DYAN,Dyandra Media International Tb,2013,4272964279,Utama
EAST,Eastparc Hotel Tbk.,2019,4126405336,Pengembangan
ECII,Electronic City Indonesia Tbk.,2013,1334333000,Pengembangan
EDGE,Indointernet Tbk.,2021,2020250000,Pengembangan
EKAD,Ekadharma International Tbk.,1990,3493875000,Utama
ELIT,Data Sinergitama Jaya Tbk.,2023,2031643057,Pengembangan
ELPI,Pelayaran Nasional Ekalya Purn,2022,7412000000,Utama
ELSA,Elnusa Tbk.,2008,7298500000,Utama
ELTY,Bakrieland Development Tbk.,1995,43521913019,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,2011,3350000000,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,2010,61316751483,Utama
ENAK,Champ Resto Indonesia Tbk.,2022,2166666800,Pengembangan
ENRG,Energi Mega Persada Tbk.,2004,24821230250,Utama
ENVY,Envy Technologies Indonesia Tb,2019,1800000000,Pemantauan Khusus
ENZO,Morenzo Abadi Perkasa Tbk.,2020,2162547122,Pemantauan Khusus
EPAC,Megalestari Epack Sentosaraya ,2020,3303400000,Pemantauan Khusus
EPMT,Enseval Putera Megatrading Tbk,1994,2708640000,Pemantauan Khusus
ERAA,Erajaya Swasembada Tbk.,2011,15950000000,Utama
ERAL,Sinar Eka Selaras Tbk.,2023,5187500000,Utama
ERTX,Eratex Djaja Tbk.,1990,1286539792,Pengembangan
ESIP,Sinergi Inti Plastindo Tbk.,2019,1109953847,Pemantauan Khusus
ESSA,ESSA Industries Indonesia Tbk.,2012,17226975700,Utama
ESTA,Esta Multi Usaha Tbk.,2020,2425354179,Pengembangan
ESTI,Ever Shine Tex Tbk.,1992,2015208720,Pemantauan Khusus
ETWA,Eterindo Wahanatama Tbk,1997,4668671400,Pemantauan Khusus
EURO,Estee Gold Feet Tbk.,2022,2548826428,Akselerasi
EXCL,XL Axiata Tbk.,2005,13128430665,Utama
FAPA,FAP Agri Tbk.,2021,3629411800,Pengembangan
FAST,Fast Food Indonesia Tbk.,1993,3990277158,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,1994,2477888787,Pemantauan Khusus
FILM,MD Pictures Tbk.,2018,9511217000,Utama
FIMP,Fimperkasa Utama Tbk.,2021,400000975,Akselerasi
FIRE,Alfa Energi Investama Tbk.,2017,1475363179,Pengembangan
FISH,FKS Multi Agro Tbk.,2002,480000000,Pemantauan Khusus
FITT,Hotel Fitra International Tbk.,2019,726130199,Pengembangan
FLMC,Falmaco Nonwoven Industri Tbk.,2021,781250000,Pemantauan Khusus
FMII,Fortune Mate Indonesia Tbk,2000,6400000000,Pengembangan
FOLK,Multi Garam Utama Tbk.,2023,3948137748,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,2019,650000000,Pengembangan
FORU,Fortune Indonesia Tbk,2002,465224000,Pengembangan
FORZ,Forza Land Indonesia Tbk.,2017,1984009887,Pemantauan Khusus
FPNI,Lotte Chemical Titan Tbk.,2002,5566414000,Pengembangan
FREN,Smartfren Telecom Tbk.,2006,335388383247,Utama
FUJI,Fuji Finance Indonesia Tbk.,2019,1300000000,PENGEMBANGAN
FUTR,Lini Imaji Kreasi Ekosistem Tb,2023,6390018713,Pengembangan
FWCT,Wijaya Cahaya Timber Tbk.,2023,1875000000,Pengembangan
GAMA,Aksara Global Development Tbk.,2012,10011027656,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk.,2009,9242500000,Pemantauan Khusus
GDYR,Goodyear Indonesia Tbk.,1980,410000000,Pemantauan Khusus
GEMA,Gema Grahasarana Tbk.,2002,1600000000,Pengembangan
GEMS,Golden Energy Mines Tbk.,2011,5882353000,Utama
GGRM,Gudang Garam Tbk.,1990,1924088000,Utama
GGRP,Gunung Raja Paksi Tbk.,2019,12111376157,Pemantauan Khusus
GHON,Gihon Telekomunikasi Indonesia,2018,550000000,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011,91480783837,Pemantauan Khusus
GJTL,Gajah Tunggal Tbk.,1990,3484800000,Utama
GLOB,Globe Kita Terang Tbk.,2012,1111112000,Pemantauan Khusus
GLVA,Galva Technologies Tbk.,2019,1500000000,Pengembangan
GMFI,Garuda Maintenance Facility Ae,2017,28233511500,Pemantauan Khusus
GMTD,Gowa Makassar Tourism Developm,2000,1015380000,Pemantauan Khusus
GOLD,Visi Telekomunikasi Infrastruk,2010,1277276000,Pengembangan
GOLL,Golden Plantation Tbk.,2014,3665000759,Pemantauan Khusus
GOOD,Garudafood Putra Putri Jaya Tb,2018,36897901455,Utama
GOTO,GoTo Gojek Tokopedia Tbk.,2022,1201409662836,Ekonomi Baru
GPRA,Perdana Gapuraprima Tbk.,2007,4276655336,Utama
GPSO,Geoprima Solusi Tbk.,2021,666741103,Pengembangan
GRIA,Ingria Pratama Capitalindo Tbk,2023,7375720674,Pengembangan
GRPH,Griptha Putra Persada Tbk.,2024,1000000000,Pengembangan
GRPM,Graha Prima Mentari Tbk.,2023,1545001224,Akselerasi
GSMF,Equity Development Investment ,1989,14230399705,Pengembangan
GTBO,Garda Tujuh Buana Tbk,2009,2500000000,Pengembangan
GTRA,Grahaprima Suksesmandiri Tbk.,2023,1894375000,Pengembangan
GTSI,GTS Internasional Tbk.,2021,15819142767,Utama
GULA,Aman Agrindo Tbk.,2022,1070362500,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,2011,7800760000,Utama
GZCO,Gozco Plantations Tbk.,2008,6000000000,Utama
HADE,Himalaya Energi Perkasa Tbk.,2004,2120000000,Pemantauan Khusus
HAIS,Hasnur Internasional Shipping ,2021,2626250000,Utama
HAJJ,Arsy Buana Travelindo Tbk.,2023,2290521166,Akselerasi
HALO,Haloni Jane Tbk.,2023,5650009835,Pengembangan
HATM,Habco Trans Maritima Tbk.,2022,7000000000,Pengembangan
HBAT,Minahasa Membangun Hebat Tbk.,2023,1040740800,Akselerasi
HDFA,Radana Bhaskara Finance Tbk.,2011,6542445783,Utama
HDIT,Hensel Davest Indonesia Tbk.,2019,1524680000,Pemantauan Khusus
HDTX,Panasia Indo Resources Tbk.,1990,3601462800,Pemantauan Khusus
HEAL,Medikaloka Hermina Tbk.,2018,15262296435,Utama
HELI,Jaya Trishindo Tbk.,2018,832862387,Pengembangan
HERO,Hero Supermarket Tbk.,1989,4183634000,Pengembangan
HEXA,Hexindo Adiperkasa Tbk.,1995,840000000,Utama
HILL,Hillcon Tbk.,2023,2948300000,Utama
HITS,Humpuss Intermoda Transportasi,1997,7101084801,Utama
HKMU,HK Metals Utama Tbk.,2018,3221750000,Pemantauan Khusus
HMSP,H.M. Sampoerna Tbk.,1990,116318076900,Utama
HOKI,Buyung Poetra Sembada Tbk.,2017,9677752680,Utama
HOME,Hotel Mandarine Regency Tbk.,2008,22212194782,Pemantauan Khusus
HOMI,Grand House Mulia Tbk.,2020,1575000000,Pengembangan
HOPE,Harapan Duta Pertiwi Tbk.,2021,2130360201,Pemantauan Khusus
HOTL,Saraswati Griya Lestari Tbk.,2013,3550001452,Pemantauan Khusus
HRME,Menteng Heritage Realty Tbk.,2019,5958750000,Pemantauan Khusus
HRTA,Hartadinata Abadi Tbk.,2017,4605262400,Utama
HRUM,Harum Energy Tbk.,2010,13518100000,Utama
HUMI,Humpuss Maritim Internasional ,2023,18046479742,Utama
HYGN,Ecocare Indo Pasifik Tbk.,2024,2525000000,Pengembangan
IATA,MNC Energy Investments Tbk.,2006,25238245388,Pengembangan
IBFN,Intan Baru Prana Tbk.,2014,1517332349,Pemantauan Khusus
IBOS,Indo Boga Sukses Tbk.,2022,8045476749,Pemantauan Khusus
IBST,Inti Bangun Sejahtera Tbk.,2012,1350904927,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,2010,11661908000,Utama
ICON,Island Concepts Indonesia Tbk.,2005,1089750000,Pengembangan
IDEA,Idea Indonesia Akademi Tbk.,2021,1062437500,Akselerasi
IDPR,Indonesia Pondasi Raya Tbk.,2015,2003000000,Utama
IFII,Indonesia Fibreboard Industry ,2019,9412000000,Utama
IFSH,Ifishdeco Tbk.,2019,2125000000,Pemantauan Khusus
IGAR,Champion Pacific Indonesia Tbk,1990,972204500,Utama
IIKP,Inti Agri Resources Tbk,2002,33600000000,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri ,1997,13305799387,Pemantauan Khusus
IKAN,Era Mandiri Cemerlang Tbk.,2020,833333000,Pengembangan
IKBI,Sumi Indo Kabel Tbk.,1991,1224000000,Pengembangan
IKPM,Ikapharmindo Putramas Tbk.,2023,1684662500,Pengembangan
IMAS,Indomobil Sukses Internasional,1993,3994291039,Utama
IMJS,Indomobil Multi Jasa Tbk.,2013,8654325000,Utama
IMPC,Impack Pratama Industri Tbk.,2014,54268500000,Pengembangan
