Kode,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,2020,2162547122.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KOIN,Kokoh Inti Arebama Tbk,Industrials,2008,980843732.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SUPR,Solusi Tunas Pratama Tbk.,Infrastructures,2011,1137579698.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
UNIT,Nusantara Inti Corpora Tbk,Consumer Cyclicals,2002,75422200.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
PPRO,PP Properti Tbk.,Properties & Real Estate,2015,61675671883.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals,2019,2570000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MGNA,Magna Investama Mandiri Tbk.,Financials,2014,3410475412.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
COAL,Black Diamond Resources Tbk.,Energy,2022,6250000000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,2018,1625000000.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
CMNP,Citra Marga Nusaphala Persada ,Infrastructures,1995,5436872008.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
MTSM,Metro Realty Tbk.,Properties & Real Estate,1992,232848000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,2022,1201409662836.0,Ekonomi Baru,0,0,0,0,0,0,1,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak
